RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2966,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3191,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3480,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2624,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2536,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3082,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2981,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3604,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2817,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
4975,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3221,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3304,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2557,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3330,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2684,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2971,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3118,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2870,E_F_Kate_Winslet.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3972,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
4169,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
4592,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
4809,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
