RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2151,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2697,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3748,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2910,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2521,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2907,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3664,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2543,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2873,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2381,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3414,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2899,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
4156,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
6134,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
4223,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2889,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
8038,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3436,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2449,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2425,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
4198,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3549,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3178,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2336,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2543,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2805,E_F_sandra_bullock.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2465,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3851,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3023,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2512,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3057,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
6023,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
