RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3415,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
2482,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
6467,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3801,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4882,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
7516,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3067,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
5850,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4117,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3782,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3034,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3801,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4499,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
6067,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3264,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3550,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
