RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3665,E_F_sandra_bullock.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
11171,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
6718,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3631,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3165,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
4452,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
5096,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3140,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3458,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3312,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2940,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3548,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3499,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
