RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2189,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2666,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3367,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2458,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2130,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2570,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3295,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
4725,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
6315,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2954,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3183,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2590,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2582,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2856,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
4126,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3790,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3773,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3376,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2652,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3842,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3609,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2930,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3117,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3638,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2077,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2408,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
4059,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2371,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
4474,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3012,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2797,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3010,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
5421,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3096,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
